file,mask,is_gold
Abyssinian_1.jpg,Abyssinian_1.png,False
Abyssinian_100.jpg,Abyssinian_100.png,False
Abyssinian_102.jpg,Abyssinian_102.png,False
Abyssinian_103.jpg,Abyssinian_103.png,False
Abyssinian_105.jpg,Abyssinian_105.png,False
Abyssinian_106.jpg,Abyssinian_106.png,False
Abyssinian_107.jpg,Abyssinian_107.png,False
Abyssinian_108.jpg,Abyssinian_108.png,False
Abyssinian_109.jpg,Abyssinian_109.png,False
Abyssinian_11.jpg,Abyssinian_11.png,False
Abyssinian_110.jpg,Abyssinian_110.png,False
Abyssinian_111.jpg,Abyssinian_111.png,False
Abyssinian_112.jpg,Abyssinian_112.png,False
Abyssinian_113.jpg,Abyssinian_113.png,False
Abyssinian_114.jpg,Abyssinian_114.png,False
Abyssinian_115.jpg,Abyssinian_115.png,False
Abyssinian_116.jpg,Abyssinian_116.png,False
Abyssinian_117.jpg,Abyssinian_117.png,False
Abyssinian_118.jpg,Abyssinian_118.png,False
Abyssinian_119.jpg,Abyssinian_119.png,False
Abyssinian_12.jpg,Abyssinian_12.png,False
Abyssinian_120.jpg,Abyssinian_120.png,False
Abyssinian_121.jpg,Abyssinian_121.png,False
Abyssinian_123.jpg,Abyssinian_123.png,False
Abyssinian_124.jpg,Abyssinian_124.png,False
Abyssinian_127.jpg,Abyssinian_127.png,False
Abyssinian_128.jpg,Abyssinian_128.png,False
Abyssinian_129.jpg,Abyssinian_129.png,False
Abyssinian_13.jpg,Abyssinian_13.png,False
Abyssinian_131.jpg,Abyssinian_131.png,False
Abyssinian_132.jpg,Abyssinian_132.png,False
Abyssinian_133.jpg,Abyssinian_133.png,False
Abyssinian_134.jpg,Abyssinian_134.png,False
Abyssinian_135.jpg,Abyssinian_135.png,False
Abyssinian_136.jpg,Abyssinian_136.png,False
Abyssinian_137.jpg,Abyssinian_137.png,False
Abyssinian_138.jpg,Abyssinian_138.png,False
Abyssinian_139.jpg,Abyssinian_139.png,False
Abyssinian_140.jpg,Abyssinian_140.png,False
Abyssinian_142.jpg,Abyssinian_142.png,False
Abyssinian_143.jpg,Abyssinian_143.png,False
Abyssinian_144.jpg,Abyssinian_144.png,False
Abyssinian_146.jpg,Abyssinian_146.png,False
Abyssinian_148.jpg,Abyssinian_148.png,False
Abyssinian_149.jpg,Abyssinian_149.png,False
Abyssinian_151.jpg,Abyssinian_151.png,False
Abyssinian_152.jpg,Abyssinian_152.png,False
Abyssinian_154.jpg,Abyssinian_154.png,False
Abyssinian_155.jpg,Abyssinian_155.png,False
Abyssinian_156.jpg,Abyssinian_156.png,False
Abyssinian_157.jpg,Abyssinian_157.png,False
Abyssinian_159.jpg,Abyssinian_159.png,False
Abyssinian_16.jpg,Abyssinian_16.png,False
Abyssinian_160.jpg,Abyssinian_160.png,False
Abyssinian_161.jpg,Abyssinian_161.png,False
Abyssinian_164.jpg,Abyssinian_164.png,False
Abyssinian_165.jpg,Abyssinian_165.png,False
Abyssinian_166.jpg,Abyssinian_166.png,False
Abyssinian_167.jpg,Abyssinian_167.png,False
Abyssinian_168.jpg,Abyssinian_168.png,False
Abyssinian_169.jpg,Abyssinian_169.png,False
Abyssinian_17.jpg,Abyssinian_17.png,False
Abyssinian_170.jpg,Abyssinian_170.png,False
Abyssinian_173.jpg,Abyssinian_173.png,False
Abyssinian_174.jpg,Abyssinian_174.png,False
Abyssinian_176.jpg,Abyssinian_176.png,False
Abyssinian_177.jpg,Abyssinian_177.png,False
Abyssinian_18.jpg,Abyssinian_18.png,False
Abyssinian_181.jpg,Abyssinian_181.png,False
Abyssinian_182.jpg,Abyssinian_182.png,False
Abyssinian_183.jpg,Abyssinian_183.png,False
Abyssinian_184.jpg,Abyssinian_184.png,False
Abyssinian_185.jpg,Abyssinian_185.png,False
Abyssinian_190.jpg,Abyssinian_190.png,False
Abyssinian_191.jpg,Abyssinian_191.png,False
Abyssinian_192.jpg,Abyssinian_192.png,False
Abyssinian_195.jpg,Abyssinian_195.png,False
Abyssinian_196.jpg,Abyssinian_196.png,False
Abyssinian_197.jpg,Abyssinian_197.png,False
Abyssinian_20.jpg,Abyssinian_20.png,False
Abyssinian_201.jpg,Abyssinian_201.png,False
Abyssinian_202.jpg,Abyssinian_202.png,False
Abyssinian_206.jpg,Abyssinian_206.png,False
Abyssinian_207.jpg,Abyssinian_207.png,False
Abyssinian_21.jpg,Abyssinian_21.png,False
Abyssinian_210.jpg,Abyssinian_210.png,False
Abyssinian_213.jpg,Abyssinian_213.png,False
Abyssinian_215.jpg,Abyssinian_215.png,False
Abyssinian_216.jpg,Abyssinian_216.png,False
Abyssinian_22.jpg,Abyssinian_22.png,False
Abyssinian_220.jpg,Abyssinian_220.png,False
Abyssinian_221.jpg,Abyssinian_221.png,False
Abyssinian_223.jpg,Abyssinian_223.png,False
Abyssinian_224.jpg,Abyssinian_224.png,False
Abyssinian_225.jpg,Abyssinian_225.png,False
Abyssinian_228.jpg,Abyssinian_228.png,False
Abyssinian_230.jpg,Abyssinian_230.png,False
Abyssinian_232.jpg,Abyssinian_232.png,False
Abyssinian_24.jpg,Abyssinian_24.png,False
Abyssinian_25.jpg,Abyssinian_25.png,False
Abyssinian_26.jpg,Abyssinian_26.png,False
Abyssinian_27.jpg,Abyssinian_27.png,False
Abyssinian_29.jpg,Abyssinian_29.png,False
Abyssinian_3.jpg,Abyssinian_3.png,False
Abyssinian_30.jpg,Abyssinian_30.png,False
Abyssinian_31.jpg,Abyssinian_31.png,False
